epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4213.55,0.87114,0.75394,1.37432,0.84657,0.83764,0.87205,0.54414,1.26254,0.85631,1.82614,0.0011948,0.0011948,0.0011948
63,4284.26,0.87033,0.76282,1.37929,0.87167,0.83764,0.88136,0.55153,1.24693,0.81903,1.82454,0.0011816,0.0011816,0.0011816
64,4356.07,0.87825,0.77696,1.38124,0.83843,0.80425,0.84699,0.51682,1.28256,0.88593,1.84983,0.0011684,0.0011684,0.0011684
65,4425.78,0.84829,0.74544,1.3573,0.85981,0.83395,0.86405,0.53766,1.25395,0.82026,1.83647,0.0011552,0.0011552,0.0011552
66,4494.01,0.85716,0.75209,1.36478,0.88985,0.80443,0.85402,0.55017,1.25172,0.84254,1.81223,0.001142,0.001142,0.001142
67,4560.69,0.86004,0.75645,1.3642,0.87986,0.83764,0.86565,0.54508,1.23509,0.81323,1.81327,0.0011288,0.0011288,0.0011288
68,4628.3,0.84258,0.73426,1.35589,0.86023,0.8155,0.86103,0.55334,1.23238,0.79568,1.81194,0.0011156,0.0011156,0.0011156
69,4696.37,0.85641,0.73601,1.36506,0.83897,0.78821,0.84875,0.52472,1.26778,0.90572,1.85314,0.0011024,0.0011024,0.0011024
70,4765.4,0.8645,0.7394,1.3673,0.8701,0.79095,0.85743,0.52621,1.28052,0.95775,1.85735,0.0010892,0.0010892,0.0010892
71,4834.19,0.85085,0.73974,1.36357,0.86121,0.80074,0.86944,0.55795,1.23582,0.8441,1.82664,0.001076,0.001076,0.001076
72,4902.11,0.83516,0.73823,1.34754,0.88553,0.82781,0.87219,0.55174,1.24844,0.82825,1.82425,0.0010628,0.0010628,0.0010628
73,4970.82,0.8411,0.72902,1.356,0.86166,0.83395,0.85956,0.54263,1.25537,0.82313,1.8474,0.0010496,0.0010496,0.0010496
74,5039.52,0.84706,0.71379,1.35713,0.86736,0.79705,0.8334,0.51688,1.25426,0.94548,1.82319,0.0010364,0.0010364,0.0010364
75,5108.18,0.83139,0.7093,1.34431,0.85069,0.86198,0.86379,0.56206,1.1847,0.79121,1.82142,0.0010232,0.0010232,0.0010232
76,5174.4,0.83565,0.73881,1.35056,0.88152,0.80812,0.8568,0.54767,1.21452,0.85873,1.81422,0.00101,0.00101,0.00101
77,5242.12,0.81583,0.69897,1.33598,0.87567,0.77969,0.86186,0.55047,1.21913,0.87587,1.81401,0.0009968,0.0009968,0.0009968
78,5309.68,0.82435,0.70293,1.34541,0.855,0.82682,0.86116,0.55702,1.21447,0.81423,1.80459,0.0009836,0.0009836,0.0009836
79,5377.5,0.83697,0.71569,1.35272,0.87329,0.7884,0.86126,0.53928,1.23922,0.89369,1.80094,0.0009704,0.0009704,0.0009704
80,5443.57,0.82572,0.70789,1.34218,0.89729,0.8155,0.87008,0.55201,1.19474,0.79398,1.80221,0.0009572,0.0009572,0.0009572
81,5511.55,0.83206,0.70818,1.34452,0.8786,0.80118,0.86997,0.54162,1.23244,0.83377,1.8185,0.000944,0.000944,0.000944
